Gene,Description
Stx2,Syntaxin-2 OS=Mus musculus OX=10090 GN=Stx2 PE=1 SV=1
Stx3,Syntaxin-3 OS=Mus musculus OX=10090 GN=Stx3 PE=1 SV=1
Stx4,Syntaxin-4 OS=Mus musculus GN=Stx4 PE=1 SV=1
Stx5,Syntaxin-5 OS=Mus musculus GN=Stx5 PE=1 SV=3
Stx6,Syntaxin-6 OS=Mus musculus GN=Stx6 PE=1 SV=1
Stx7,Syntaxin-7 OS=Mus musculus GN=Stx7 PE=1 SV=3
Stx8,Syntaxin-8 OS=Mus musculus GN=Stx8 PE=1 SV=1
Stxbp1,Syntaxin-binding protein 1 OS=Mus musculus GN=Stxbp1 PE=1 SV=2
Stxbp2,Syntaxin-binding protein 2 OS=Mus musculus OX=10090 GN=Stxbp2 PE=1 SV=1
Stxbp3,Syntaxin-binding protein 3 OS=Mus musculus GN=Stxbp3 PE=1 SV=1
Stxbp4,Syntaxin-binding protein 4 OS=Mus musculus OX=10090 GN=Stxbp4 PE=1 SV=1
Stxbp5,Syntaxin-binding protein 5 OS=Mus musculus GN=Stxbp5 PE=1 SV=2
Stxbp5l,Syntaxin-binding protein 5-like OS=Mus musculus GN=Stxbp5l PE=1 SV=1
Stxbp6,Syntaxin-binding protein 6 OS=Mus musculus GN=Stxbp6 PE=1 SV=1
Styx,Serine/threonine/tyrosine-interacting protein OS=Mus musculus OX=10090 GN=Styx PE=1 SV=2
Sub1,Activated RNA polymerase II transcriptional coactivator p15 OS=Mus musculus GN=Sub1 PE=1 SV=3
Sucla2,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Sucla2 PE=1 SV=2"
Suclg1,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Mus musculus GN=Suclg1 PE=1 SV=4"
Suclg2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Suclg2 PE=1 SV=3"
Suco,SUN domain-containing ossification factor OS=Mus musculus OX=10090 GN=Suco PE=1 SV=3
Suds3,Sin3 histone deacetylase corepressor complex component SDS3 OS=Mus musculus OX=10090 GN=Suds3 PE=1 SV=1
Sugct,Succinate--hydroxymethylglutarate CoA-transferase OS=Mus musculus OX=10090 GN=Sugct PE=1 SV=2
Sugp1,SURP and G-patch domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sugp1 PE=1 SV=1
Sugp2,SURP and G-patch domain-containing protein 2 OS=Mus musculus GN=Sugp2 PE=1 SV=2
Sugt1,Protein SGT1 homolog OS=Mus musculus GN=Sugt1 PE=1 SV=3
Sulf2,Extracellular sulfatase Sulf-2 OS=Mus musculus OX=10090 GN=Sulf2 PE=2 SV=2
Sult1a1,Sulfotransferase 1A1 OS=Mus musculus OX=10090 GN=Sult1a1 PE=1 SV=1
Sult1c1,Sulfotransferase 1C1 OS=Mus musculus GN=Sult1c1 PE=1 SV=1
Sult1d1,Sulfotransferase 1 family member D1 OS=Mus musculus OX=10090 GN=Sult1d1 PE=1 SV=1
Sult4a1,Sulfotransferase 4A1 OS=Mus musculus GN=Sult4a1 PE=1 SV=1
Sumf1,Formylglycine-generating enzyme OS=Mus musculus OX=10090 GN=Sumf1 PE=1 SV=2
Sumf2,Inactive C-alpha-formylglycine-generating enzyme 2 OS=Mus musculus OX=10090 GN=Sumf2 PE=1 SV=2
Sumo1,Small ubiquitin-related modifier 1 OS=Mus musculus OX=10090 GN=Sumo1 PE=1 SV=1
Sumo2,Small ubiquitin-related modifier 2 OS=Mus musculus GN=Sumo2 PE=1 SV=1
Sumo3,Small ubiquitin-related modifier 3 OS=Mus musculus GN=Sumo3 PE=1 SV=1
Sun1,SUN domain-containing protein 1 OS=Mus musculus GN=Sun1 PE=1 SV=2
Sun2,SUN domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sun2 PE=1 SV=3
Suox,"Sulfite oxidase, mitochondrial OS=Mus musculus GN=Suox PE=1 SV=2"
Supt16h,FACT complex subunit SPT16 OS=Mus musculus OX=10090 GN=Supt16h PE=1 SV=2
Supt4h1a,Transcription elongation factor SPT4-A OS=Mus musculus OX=10090 GN=Supt4h1a PE=2 SV=1
Supt5h,Transcription elongation factor SPT5 OS=Mus musculus GN=Supt5h PE=2 SV=1
Supt6h,Transcription elongation factor SPT6 OS=Mus musculus GN=Supt6h PE=2 SV=2
Supv3l1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial OS=Mus musculus GN=Supv3l1 PE=1 SV=1"
Surf1,Surfeit locus protein 1 OS=Mus musculus OX=10090 GN=Surf1 PE=1 SV=3
Surf2,Surfeit locus protein 2 OS=Mus musculus OX=10090 GN=Surf2 PE=1 SV=1
Surf4,Surfeit locus protein 4 OS=Mus musculus GN=Surf4 PE=1 SV=1
Surf6,Surfeit locus protein 6 OS=Mus musculus OX=10090 GN=Surf6 PE=1 SV=1
Susd2,Sushi domain-containing protein 2 OS=Mus musculus OX=10090 GN=Susd2 PE=1 SV=1
Susd4,Sushi domain-containing protein 4 OS=Mus musculus OX=10090 GN=Susd4 PE=2 SV=1
Sv2a,Synaptic vesicle glycoprotein 2A OS=Mus musculus GN=Sv2a PE=1 SV=1
Sv2b,Synaptic vesicle glycoprotein 2B OS=Mus musculus GN=Sv2b PE=1 SV=1
Sv2c,Synaptic vesicle glycoprotein 2C OS=Mus musculus GN=Sv2c PE=1 SV=2
Svil,Supervillin OS=Mus musculus OX=10090 GN=Svil PE=1 SV=1
Svip,Small VCP/p97-interacting protein OS=Mus musculus GN=Svip PE=3 SV=1
Svop,Synaptic vesicle 2-related protein OS=Mus musculus GN=Svop PE=1 SV=1
Swap70,Switch-associated protein 70 OS=Mus musculus OX=10090 GN=Swap70 PE=1 SV=2
Syap1,Synapse-associated protein 1 OS=Mus musculus GN=Syap1 PE=1 SV=1
Sybu,Syntabulin OS=Mus musculus GN=Sybu PE=1 SV=1
Sycp1,Synaptonemal complex protein 1 OS=Mus musculus GN=Sycp1 PE=1 SV=1
Syf2,Pre-mRNA-splicing factor SYF2 OS=Mus musculus OX=10090 GN=Syf2 PE=2 SV=1
Syk,Tyrosine-protein kinase SYK OS=Mus musculus OX=10090 GN=Syk PE=1 SV=2
Sympk,Symplekin OS=Mus musculus GN=Sympk PE=1 SV=1
Syn1,Synapsin-1 OS=Mus musculus GN=Syn1 PE=1 SV=2
Syn2,Synapsin-2 OS=Mus musculus GN=Syn2 PE=1 SV=2
Syn3,Synapsin-3 OS=Mus musculus GN=Syn3 PE=1 SV=1
Syncrip,Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip PE=1 SV=2
Syndig1,Synapse differentiation-inducing gene protein 1 OS=Mus musculus GN=Syndig1 PE=1 SV=1
Syndig1l,Synapse differentiation-inducing gene protein 1-like OS=Mus musculus OX=10090 GN=Syndig1l PE=2 SV=1
Syne1,Nesprin-1 OS=Mus musculus GN=Syne1 PE=1 SV=2
Syne2,Nesprin-2 OS=Mus musculus GN=Syne2 PE=1 SV=2
Syne3,Nesprin-3 OS=Mus musculus OX=10090 GN=Syne3 PE=1 SV=1
Syngap1,Ras/Rap GTPase-activating protein SynGAP OS=Mus musculus GN=Syngap1 PE=1 SV=2
Syngr1,Synaptogyrin-1 OS=Mus musculus GN=Syngr1 PE=1 SV=2
Syngr3,Synaptogyrin-3 OS=Mus musculus GN=Syngr3 PE=1 SV=1
Synj1,Synaptojanin-1 OS=Mus musculus GN=Synj1 PE=1 SV=3
Synj2,Synaptojanin-2 OS=Mus musculus OX=10090 GN=Synj2 PE=1 SV=2
Synj2bp,Synaptojanin-2-binding protein OS=Mus musculus GN=Synj2bp PE=1 SV=1
Synm,Synemin OS=Mus musculus GN=Synm PE=1 SV=2
Synpo,Synaptopodin OS=Mus musculus GN=Synpo PE=1 SV=2
Synpo2,Synaptopodin-2 OS=Mus musculus OX=10090 GN=Synpo2 PE=1 SV=2
Synpo2l,Synaptopodin 2-like protein OS=Mus musculus OX=10090 GN=Synpo2l PE=1 SV=1
Synpr,Synaptoporin OS=Mus musculus GN=Synpr PE=1 SV=1
Synrg,Synergin gamma OS=Mus musculus GN=Synrg PE=1 SV=1
Syp,Synaptophysin OS=Mus musculus GN=Syp PE=1 SV=2
Sypl1,Synaptophysin-like protein 1 OS=Mus musculus GN=Sypl1 PE=1 SV=2
Syt1,Synaptotagmin-1 OS=Mus musculus GN=Syt1 PE=1 SV=1
Syt10,Synaptotagmin-10 OS=Mus musculus GN=Syt10 PE=1 SV=1
Syt11,Synaptotagmin-11 OS=Mus musculus GN=Syt11 PE=1 SV=2
Syt12,Synaptotagmin-12 OS=Mus musculus GN=Syt12 PE=1 SV=1
Syt13,Synaptotagmin-13 OS=Mus musculus OX=10090 GN=Syt13 PE=1 SV=1
Syt14,Synaptotagmin-14 OS=Mus musculus OX=10090 GN=Syt14 PE=2 SV=1
Syt16,Synaptotagmin-16 OS=Mus musculus OX=10090 GN=Syt16 PE=1 SV=1
Syt17,Synaptotagmin-17 OS=Mus musculus GN=Syt17 PE=1 SV=1
Syt2,Synaptotagmin-2 OS=Mus musculus GN=Syt2 PE=1 SV=1
Syt3,Synaptotagmin-3 OS=Mus musculus GN=Syt3 PE=1 SV=2
Syt4,Synaptotagmin-4 OS=Mus musculus OX=10090 GN=Syt4 PE=1 SV=2
Syt5,Synaptotagmin-5 OS=Mus musculus GN=Syt5 PE=1 SV=1
Syt6,Synaptotagmin-6 OS=Mus musculus OX=10090 GN=Syt6 PE=1 SV=2
Syt7,Synaptotagmin-7 OS=Mus musculus GN=Syt7 PE=1 SV=1
Syt9,Synaptotagmin-9 OS=Mus musculus OX=10090 GN=Syt9 PE=1 SV=2
Sytl2,Synaptotagmin-like protein 2 OS=Mus musculus OX=10090 GN=Sytl2 PE=1 SV=2
Sytl4,Synaptotagmin-like protein 4 OS=Mus musculus OX=10090 GN=Sytl4 PE=1 SV=1
Sytl5,Synaptotagmin-like protein 5 OS=Mus musculus OX=10090 GN=Sytl5 PE=1 SV=1
Syvn1,E3 ubiquitin-protein ligase synoviolin OS=Mus musculus GN=Syvn1 PE=1 SV=3
Szrd1,SUZ domain-containing protein 1 OS=Mus musculus OX=10090 GN=Szrd1 PE=1 SV=1
Szt2,KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2 PE=1 SV=1
TCAIM,"T-cell activation inhibitor, mitochondrial OS=Mus musculus OX=10090 GN=TCAIM PE=1 SV=1"
TMEM121B,Transmembrane protein 121B OS=Mus musculus OX=10090 GN=TMEM121B PE=1 SV=1
Tab1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 OS=Mus musculus GN=Tab1 PE=1 SV=2
Tab2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 OS=Mus musculus OX=10090 GN=Tab2 PE=1 SV=1
Tab3,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 OS=Mus musculus GN=Tab3 PE=1 SV=2
Tac1,Protachykinin-1 OS=Mus musculus OX=10090 GN=Tac1 PE=2 SV=1
Tacc1,Transforming acidic coiled-coil-containing protein 1 OS=Mus musculus GN=Tacc1 PE=1 SV=1
Tacc2,Transforming acidic coiled-coil-containing protein 2 OS=Mus musculus GN=Tacc2 PE=1 SV=2
Taco1,Translational activator of cytochrome c oxidase 1 OS=Mus musculus GN=Taco1 PE=1 SV=1
Tacr1,Substance-P receptor OS=Mus musculus OX=10090 GN=Tacr1 PE=2 SV=2
Tada1,Transcriptional adapter 1 OS=Mus musculus OX=10090 GN=Tada1 PE=2 SV=1
Tada3,Transcriptional adapter 3 OS=Mus musculus OX=10090 GN=Tada3 PE=1 SV=1
Taf10,Transcription initiation factor TFIID subunit 10 OS=Mus musculus OX=10090 GN=Taf10 PE=1 SV=1
Taf2,Transcription initiation factor TFIID subunit 2 OS=Mus musculus OX=10090 GN=Taf2 PE=2 SV=2
Taf5l,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L OS=Mus musculus OX=10090 GN=Taf5l PE=2 SV=1
Taf6l,TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L OS=Mus musculus OX=10090 GN=Taf6l PE=1 SV=1
Taf7,Transcription initiation factor TFIID subunit 7 OS=Mus musculus OX=10090 GN=Taf7 PE=1 SV=1
Taf9,Transcription initiation factor TFIID subunit 9 OS=Mus musculus GN=Taf9 PE=2 SV=1
Taf9b,Transcription initiation factor TFIID subunit 9B OS=Mus musculus OX=10090 GN=Taf9b PE=1 SV=2
Tafa1,Chemokine-like protein TAFA-1 OS=Mus musculus OX=10090 GN=Tafa1 PE=1 SV=1
Tafa2,Chemokine-like protein TAFA-2 OS=Mus musculus OX=10090 GN=Tafa2 PE=1 SV=1
Tafa5,Chemokine-like protein TAFA-5 OS=Mus musculus OX=10090 GN=Tafa5 PE=1 SV=2
Tagln,Transgelin OS=Mus musculus OX=10090 GN=Tagln PE=1 SV=3
Tagln2,Transgelin-2 OS=Mus musculus GN=Tagln2 PE=1 SV=4
Tagln3,Transgelin-3 OS=Mus musculus GN=Tagln3 PE=1 SV=1
Taldo1,Transaldolase OS=Mus musculus GN=Taldo1 PE=1 SV=2
Talpid3,Protein TALPID3 OS=Mus musculus OX=10090 GN=Talpid3 PE=1 SV=1
Tamm41,"Phosphatidate cytidylyltransferase, mitochondrial OS=Mus musculus GN=Tamm41 PE=1 SV=2"
Tanc1,Protein TANC1 OS=Mus musculus GN=Tanc1 PE=2 SV=2
Tanc2,Protein TANC2 OS=Mus musculus GN=Tanc2 PE=1 SV=1
Tango2,Transport and Golgi organization 2 homolog OS=Mus musculus GN=Tango2 PE=1 SV=1
Tango6,Transport and Golgi organization protein 6 homolog OS=Mus musculus OX=10090 GN=Tango6 PE=1 SV=1
Tank,TRAF family member-associated NF-kappa-B activator OS=Mus musculus OX=10090 GN=Tank PE=1 SV=1
Taok1,Serine/threonine-protein kinase TAO1 OS=Mus musculus GN=Taok1 PE=1 SV=1
Taok2,Serine/threonine-protein kinase TAO2 OS=Mus musculus GN=Taok2 PE=1 SV=3
Taok3,Serine/threonine-protein kinase TAO3 OS=Mus musculus OX=10090 GN=Taok3 PE=1 SV=2
Tap1,Antigen peptide transporter 1 OS=Mus musculus OX=10090 GN=Tap1 PE=1 SV=3
Tap2,Antigen peptide transporter 2 OS=Mus musculus OX=10090 GN=Tap2 PE=1 SV=1
Tapbp,Tapasin OS=Mus musculus OX=10090 GN=Tapbp PE=1 SV=2
Tapbpl,Tapasin-related protein OS=Mus musculus OX=10090 GN=Tapbpl PE=1 SV=2
Tapt1,Transmembrane anterior posterior transformation protein 1 OS=Mus musculus OX=10090 GN=Tapt1 PE=1 SV=2
Tarbp2,RISC-loading complex subunit TARBP2 OS=Mus musculus OX=10090 GN=Tarbp2 PE=1 SV=2
Tardbp,TAR DNA-binding protein 43 OS=Mus musculus GN=Tardbp PE=1 SV=1
Tars,"Threonine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Tars PE=1 SV=2"
Tars1,"Threonine--tRNA ligase 1, cytoplasmic OS=Mus musculus OX=10090 GN=Tars1 PE=1 SV=2"
Tars2,"Threonine--tRNA ligase, mitochondrial OS=Mus musculus GN=Tars2 PE=1 SV=1"
Tars3,"Threonine--tRNA ligase 2, cytoplasmic OS=Mus musculus OX=10090 GN=Tars3 PE=1 SV=1"
Tarsl2,"Probable threonine--tRNA ligase 2, cytoplasmic OS=Mus musculus GN=Tarsl2 PE=1 SV=1"
Tas2r13,Taste receptor type 2 member 13 OS=Mus musculus GN=Tas2r13 PE=2 SV=1
Tasor,Protein TASOR OS=Mus musculus OX=10090 GN=Tasor PE=1 SV=2
Tasor2,Protein TASOR 2 OS=Mus musculus OX=10090 GN=Tasor2 PE=1 SV=2
Tasp1,Threonine aspartase 1 OS=Mus musculus OX=10090 GN=Tasp1 PE=2 SV=1
Tatdn1,Putative deoxyribonuclease TATDN1 OS=Mus musculus OX=10090 GN=Tatdn1 PE=1 SV=1
Tax1bp1,Tax1-binding protein 1 homolog OS=Mus musculus OX=10090 GN=Tax1bp1 PE=1 SV=2
Tax1bp3,Tax1-binding protein 3 OS=Mus musculus OX=10090 GN=Tax1bp3 PE=1 SV=1
Tbc1d1,TBC1 domain family member 1 OS=Mus musculus OX=10090 GN=Tbc1d1 PE=1 SV=3
Tbc1d10a,TBC1 domain family member 10A OS=Mus musculus OX=10090 GN=Tbc1d10a PE=1 SV=1
Tbc1d10b,TBC1 domain family member 10B OS=Mus musculus GN=Tbc1d10b PE=1 SV=1
Tbc1d12,TBC1 domain family member 12 OS=Mus musculus OX=10090 GN=Tbc1d12 PE=1 SV=2
Tbc1d13,TBC1 domain family member 13 OS=Mus musculus GN=Tbc1d13 PE=2 SV=1
Tbc1d14,TBC1 domain family member 14 OS=Mus musculus OX=10090 GN=Tbc1d14 PE=1 SV=2
Tbc1d15,TBC1 domain family member 15 OS=Mus musculus GN=Tbc1d15 PE=1 SV=1
Tbc1d17,TBC1 domain family member 17 OS=Mus musculus GN=Tbc1d17 PE=1 SV=2
Tbc1d2,TBC1 domain family member 2A OS=Mus musculus OX=10090 GN=Tbc1d2 PE=2 SV=1
Tbc1d20,TBC1 domain family member 20 OS=Mus musculus GN=Tbc1d20 PE=1 SV=1
Tbc1d22a,TBC1 domain family member 22A OS=Mus musculus OX=10090 GN=Tbc1d22a PE=1 SV=3
Tbc1d23,TBC1 domain family member 23 OS=Mus musculus OX=10090 GN=Tbc1d23 PE=1 SV=1
Tbc1d24,TBC1 domain family member 24 OS=Mus musculus GN=Tbc1d24 PE=1 SV=2
Tbc1d25,TBC1 domain family member 25 OS=Mus musculus OX=10090 GN=Tbc1d25 PE=1 SV=1
Tbc1d2b,TBC1 domain family member 2B OS=Mus musculus GN=Tbc1d2b PE=1 SV=2
Tbc1d30,TBC1 domain family member 30 OS=Mus musculus OX=10090 GN=Tbc1d30 PE=1 SV=2
Tbc1d4,TBC1 domain family member 4 OS=Mus musculus OX=10090 GN=Tbc1d4 PE=1 SV=2
Tbc1d5,TBC1 domain family member 5 OS=Mus musculus GN=Tbc1d5 PE=1 SV=2
Tbc1d7,TBC1 domain family member 7 OS=Mus musculus OX=10090 GN=Tbc1d7 PE=1 SV=1
Tbc1d8,TBC1 domain family member 8 OS=Mus musculus OX=10090 GN=Tbc1d8 PE=1 SV=2
Tbc1d8b,TBC1 domain family member 8B OS=Mus musculus GN=Tbc1d8b PE=1 SV=1
Tbc1d9,TBC1 domain family member 9 OS=Mus musculus OX=10090 GN=Tbc1d9 PE=2 SV=2
Tbc1d9b,TBC1 domain family member 9B OS=Mus musculus GN=Tbc1d9b PE=1 SV=1
Tbca,Tubulin-specific chaperone A OS=Mus musculus OX=10090 GN=Tbca PE=1 SV=3
Tbcb,Tubulin folding cofactor B OS=Mus musculus GN=Tbcb PE=1 SV=2
Tbcc,Tubulin-specific chaperone C OS=Mus musculus GN=Tbcc PE=1 SV=1
Tbcd,Tubulin-specific chaperone D OS=Mus musculus GN=Tbcd PE=1 SV=1
Tbce,Tubulin-specific chaperone E OS=Mus musculus GN=Tbce PE=1 SV=1
Tbcel,Tubulin-specific chaperone cofactor E-like protein OS=Mus musculus OX=10090 GN=Tbcel PE=1 SV=1
Tbck,TBC domain-containing protein kinase-like protein OS=Mus musculus GN=Tbck PE=1 SV=1
Tbk1,Serine/threonine-protein kinase TBK1 OS=Mus musculus GN=Tbk1 PE=1 SV=1
Tbkbp1,TANK-binding kinase 1-binding protein 1 OS=Mus musculus OX=10090 GN=Tbkbp1 PE=1 SV=1
Tbl1x,F-box-like/WD repeat-containing protein TBL1X OS=Mus musculus OX=10090 GN=Tbl1x PE=1 SV=2
Tbl1xr1,F-box-like/WD repeat-containing protein TBL1XR1 OS=Mus musculus OX=10090 GN=Tbl1xr1 PE=1 SV=1
Tbl2,Transducin beta-like protein 2 OS=Mus musculus GN=Tbl2 PE=1 SV=2
Tbl3,Transducin beta-like protein 3 OS=Mus musculus OX=10090 GN=Tbl3 PE=2 SV=1
Tbp,TATA-box-binding protein OS=Mus musculus OX=10090 GN=Tbp PE=1 SV=1
Tbpl1,TATA box-binding protein-like protein 1 OS=Mus musculus GN=Tbpl1 PE=1 SV=1
Tbpl2,TATA box-binding protein-like protein 2 OS=Mus musculus OX=10090 GN=Tbpl2 PE=1 SV=1
Tbr1,T-box brain protein 1 OS=Mus musculus OX=10090 GN=Tbr1 PE=1 SV=2
Tbrg4,FAST kinase domain-containing protein 4 OS=Mus musculus OX=10090 GN=Tbrg4 PE=1 SV=1
Tbxas1,Thromboxane-A synthase OS=Mus musculus OX=10090 GN=Tbxas1 PE=1 SV=2
Tcaf1,TRPM8 channel-associated factor 1 OS=Mus musculus GN=Tcaf1 PE=2 SV=1
Tcea1,Transcription elongation factor A protein 1 OS=Mus musculus GN=Tcea1 PE=1 SV=2
Tcea2,Transcription elongation factor A protein 2 OS=Mus musculus OX=10090 GN=Tcea2 PE=2 SV=2
Tceal1,Transcription elongation factor A protein-like 1 OS=Mus musculus OX=10090 GN=Tceal1 PE=2 SV=1
Tceal3,Transcription elongation factor A protein-like 3 OS=Mus musculus GN=Tceal3 PE=1 SV=2
Tceal5,Transcription elongation factor A protein-like 5 OS=Mus musculus GN=Tceal5 PE=1 SV=1
Tceanc2,Transcription elongation factor A N-terminal and central domain-containing protein 2 OS=Mus musculus OX=10090 GN=Tceanc2 PE=2 SV=2
Tceb1,Transcription elongation factor B polypeptide 1 OS=Mus musculus GN=Tceb1 PE=1 SV=1
Tceb2,Transcription elongation factor B polypeptide 2 OS=Mus musculus GN=Tceb2 PE=1 SV=1
Tcerg1,Transcription elongation regulator 1 OS=Mus musculus GN=Tcerg1 PE=1 SV=2
Tcf12,Transcription factor 12 OS=Mus musculus OX=10090 GN=Tcf12 PE=1 SV=2
Tcf20,Transcription factor 20 OS=Mus musculus OX=10090 GN=Tcf20 PE=1 SV=3
Tcf25,Transcription factor 25 OS=Mus musculus OX=10090 GN=Tcf25 PE=1 SV=2
Tcf4,Transcription factor 4 OS=Mus musculus OX=10090 GN=Tcf4 PE=1 SV=1
Tchp,Trichoplein keratin filament-binding protein OS=Mus musculus OX=10090 GN=Tchp PE=1 SV=2
Tcn2,Transcobalamin-2 OS=Mus musculus OX=10090 GN=Tcn2 PE=1 SV=1
Tcof1,Treacle protein OS=Mus musculus OX=10090 GN=Tcof1 PE=1 SV=1
Tcp1,T-complex protein 1 subunit alpha OS=Mus musculus GN=Tcp1 PE=1 SV=3
Tcp11l1,T-complex protein 11-like protein 1 OS=Mus musculus GN=Tcp11l1 PE=1 SV=1
Tctn1,Tectonic-1 OS=Mus musculus OX=10090 GN=Tctn1 PE=1 SV=1
Tdg,G/T mismatch-specific thymine DNA glycosylase OS=Mus musculus OX=10090 GN=Tdg PE=1 SV=2
Tdh,"L-threonine 3-dehydrogenase, mitochondrial OS=Mus musculus GN=Tdh PE=2 SV=1"
Tdp1,Tyrosyl-DNA phosphodiesterase 1 OS=Mus musculus OX=10090 GN=Tdp1 PE=1 SV=2
Tdp2,Tyrosyl-DNA phosphodiesterase 2 OS=Mus musculus OX=10090 GN=Tdp2 PE=1 SV=1
Tdrd3,Tudor domain-containing protein 3 OS=Mus musculus GN=Tdrd3 PE=1 SV=4
Tdrd7,Tudor domain-containing protein 7 OS=Mus musculus OX=10090 GN=Tdrd7 PE=1 SV=1
Tdrkh,Tudor and KH domain-containing protein OS=Mus musculus GN=Tdrkh PE=1 SV=1
Tdrp,Testis development-related protein OS=Mus musculus OX=10090 GN=Tdrp PE=1 SV=1
Tecpr1,Tectonin beta-propeller repeat-containing protein 1 OS=Mus musculus GN=Tecpr1 PE=1 SV=1
Tecr,"Trans-2,3-enoyl-CoA reductase OS=Mus musculus GN=Tecr PE=1 SV=1"
Tefm,"Transcription elongation factor, mitochondrial OS=Mus musculus OX=10090 GN=Tefm PE=1 SV=1"
Telo2,Telomere length regulation protein TEL2 homolog OS=Mus musculus OX=10090 GN=Telo2 PE=1 SV=2
Tenm1,Teneurin-1 OS=Mus musculus GN=Tenm1 PE=1 SV=1
Tenm2,Teneurin-2 OS=Mus musculus GN=Tenm2 PE=1 SV=1
Tenm3,Teneurin-3 OS=Mus musculus GN=Tenm3 PE=1 SV=1
Tenm4,Teneurin-4 OS=Mus musculus GN=Tenm4 PE=1 SV=2
Tent4a,Terminal nucleotidyltransferase 4A OS=Mus musculus OX=10090 GN=Tent4a PE=2 SV=2
Tent4b,Terminal nucleotidyltransferase 4B OS=Mus musculus OX=10090 GN=Tent4b PE=1 SV=2
Tep1,Telomerase protein component 1 OS=Mus musculus OX=10090 GN=Tep1 PE=1 SV=1
Tepsin,AP-4 complex accessory subunit Tepsin OS=Mus musculus OX=10090 GN=Tepsin PE=2 SV=1
Terf2,Telomeric repeat-binding factor 2 OS=Mus musculus OX=10090 GN=Terf2 PE=1 SV=3
Terf2ip,Telomeric repeat-binding factor 2-interacting protein 1 OS=Mus musculus OX=10090 GN=Terf2ip PE=1 SV=1
Tes,Testin OS=Mus musculus GN=Tes PE=2 SV=1
Tesc,Calcineurin B homologous protein 3 OS=Mus musculus GN=Tesc PE=1 SV=2
Tesk1,Dual specificity testis-specific protein kinase 1 OS=Mus musculus OX=10090 GN=Tesk1 PE=1 SV=3
Tex10,Testis-expressed protein 10 OS=Mus musculus OX=10090 GN=Tex10 PE=1 SV=1
Tex2,Testis-expressed protein 2 OS=Mus musculus GN=Tex2 PE=1 SV=2
Tf,Serotransferrin OS=Mus musculus GN=Tf PE=1 SV=1
Tfam,"Transcription factor A, mitochondrial OS=Mus musculus GN=Tfam PE=1 SV=2"
Tfap2d,Transcription factor AP-2-delta OS=Mus musculus OX=10090 GN=Tfap2d PE=1 SV=1
Tfb1m,"Dimethyladenosine transferase 1, mitochondrial OS=Mus musculus GN=Tfb1m PE=1 SV=1"
Tfcp2,Alpha-globin transcription factor CP2 OS=Mus musculus OX=10090 GN=Tfcp2 PE=1 SV=1
Tfdp1,Transcription factor Dp-1 OS=Mus musculus OX=10090 GN=Tfdp1 PE=1 SV=1
Tfe3,Transcription factor E3 OS=Mus musculus OX=10090 GN=Tfe3 PE=1 SV=2
Tfeb,Transcription factor EB OS=Mus musculus OX=10090 GN=Tfeb PE=1 SV=2
Tfip11,Tuftelin-interacting protein 11 OS=Mus musculus OX=10090 GN=Tfip11 PE=1 SV=1
Tfrc,Transferrin receptor protein 1 OS=Mus musculus GN=Tfrc PE=1 SV=1
Tgfb1i1,Transforming growth factor beta-1-induced transcript 1 protein OS=Mus musculus OX=10090 GN=Tgfb1i1 PE=1 SV=2
Tgfb2,Transforming growth factor beta-2 proprotein OS=Mus musculus OX=10090 GN=Tgfb2 PE=1 SV=2
Tgfbrap1,Transforming growth factor-beta receptor-associated protein 1 OS=Mus musculus OX=10090 GN=Tgfbrap1 PE=1 SV=1
Tgm1,Protein-glutamine gamma-glutamyltransferase K OS=Mus musculus GN=Tgm1 PE=1 SV=2
Tgm2,Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus OX=10090 GN=Tgm2 PE=1 SV=4
Tgm3,Protein-glutamine gamma-glutamyltransferase E OS=Mus musculus GN=Tgm3 PE=1 SV=2
Tgoln1,Trans-Golgi network integral membrane protein 1 OS=Mus musculus OX=10090 GN=Tgoln1 PE=1 SV=1
Tgoln2,Trans-Golgi network integral membrane protein 2 OS=Mus musculus OX=10090 GN=Tgoln2 PE=1 SV=1
Tgs1,Trimethylguanosine synthase OS=Mus musculus GN=Tgs1 PE=1 SV=2
Th,Tyrosine 3-monooxygenase OS=Mus musculus GN=Th PE=1 SV=3
Th1l,Negative elongation factor D OS=Mus musculus GN=Th1l PE=2 SV=2
